error=0.2545169503151968, alpha=3.271889538251205Boosting round: 18, Accuracy: 0.3803
error=0.27372837742578227, alpha=3.173012366528215Boosting round: 19, Accuracy: 0.3802
error=0.25804179454262144, alpha=3.2533959258871383Boosting round: 20, Accuracy: 0.3841
error=0.27764357086735186, alpha=3.1534050916828615error=0.59862, alpha=1.7975061806932855Boosting round: 1, Accuracy: 0.2594
error=0.5386646329759404, alpha=2.0422566581353028Boosting round: 2, Accuracy: 0.216
error=0.4705430007182393, alpha=2.3151891805242193Boosting round: 3, Accuracy: 0.2444
error=0.4008163802307919, alpha=2.5992892545569584Boosting round: 4, Accuracy: 0.2454
error=0.44681724645315013, alpha=2.410763334449787Boosting round: 5, Accuracy: 0.2676
error=0.4140727186372837, alpha=2.5443786586921604Boosting round: 6, Accuracy: 0.2688
error=0.40561732228675995, alpha=2.5793377686681436Boosting round: 7, Accuracy: 0.2749
error=0.39055880633921053, alpha=2.6421884883238445Boosting round: 8, Accuracy: 0.2788
error=0.4034658374245299, alpha=2.5882692704338712Boosting round: 9, Accuracy: 0.2804
error=0.38166551972272816, alpha=2.679709496381356Boosting round: 10, Accuracy: 0.2858
error=0.3919725672759384, alpha=2.636252721993756Boosting round: 11, Accuracy: 0.288
error=0.39252097035487965, alpha=2.6339522694014414Boosting round: 12, Accuracy: 0.2914
error=0.4050220082282478, alpha=2.58180758664443Boosting round: 13, Accuracy: 0.292
error=0.37048712050136307, alpha=2.7273522088454953Boosting round: 14, Accuracy: 0.2917
error=0.40774437029205374, alpha=2.570522491315544Boosting round: 15, Accuracy: 0.294
error=0.3865660858243692, alpha=2.6589942776034454Boosting round: 16, Accuracy: 0.2954
error=0.3877384193484284, alpha=2.654053252569452Boosting round: 17, Accuracy: 0.2994
error=0.3785079006272523, alpha=2.6931108298348305Boosting round: 18, Accuracy: 0.2992
error=0.005260000000000001, alpha=7.4395749470660295Boosting round: 1, Accuracy: 0.1018
error=0.0040191941933964285, alpha=7.709871130322225Boosting round: 2, Accuracy: 0.0999
error=0.0067805672780775796, alpha=7.184115428762779Boosting round: 3, Accuracy: 0.101
error=0.0038559767985596235, alpha=7.751492066315739error=0.70838, alpha=1.309695489351157Boosting round: 1, Accuracy: 0.2686
error=0.7534867831155019, alpha=1.079928710317808Boosting round: 2, Accuracy: 0.2686
error=0.7587097008835108, alpha=1.0516061181212828Boosting round: 3, Accuracy: 0.2761
error=0.758710700056688, alpha=1.0516006602174235Boosting round: 4, Accuracy: 0.2818
error=0.7578368118012025, alpha=1.0563683330302331Boosting round: 5, Accuracy: 0.2923
error=0.7465970062397806, alpha=1.1166801029048485Boosting round: 6, Accuracy: 0.2967
error=0.7462965065767415, alpha=1.1182678306093656Boosting round: 7, Accuracy: 0.3016
error=0.7416745156658342, alpha=1.1425344455408355Boosting round: 8, Accuracy: 0.3028
error=0.7389347514049854, alpha=1.1567853240742785Boosting round: 9, Accuracy: 0.3012
error=0.7328570621034636, alpha=1.1880577614967025Boosting round: 10, Accuracy: 0.3015
error=0.7316397182449607, alpha=1.1942667853377955Boosting round: 11, Accuracy: 0.3031
error=0.717402010945252, alpha=1.265613563493866Boosting round: 12, Accuracy: 0.2959
error=0.729657948461228, alpha=1.2043367315182734Boosting round: 13, Accuracy: 0.3015
error=0.7295177535254597, alpha=1.2050473369786001Boosting round: 14, Accuracy: 0.3006
error=0.7314338953476442, alpha=1.1953148130581326Boosting round: 15, Accuracy: 0.3032
error=0.726401665521436, alpha=1.2207825555060954Boosting round: 16, Accuracy: 0.3038
error=0.7034306278546071, alpha=1.3335364768661047Boosting round: 17, Accuracy: 0.305
error=0.7216237181093546, alpha=1.2446944708238559Boosting round: 18, Accuracy: 0.3072
error=0.71031894770685, alpha=1.3002909841048331Boosting round: 19, Accuracy: 0.3115
error=0.7325082511374058, alpha=1.1898386926438855Boosting round: 20, Accuracy: 0.3109
error=0.714669860563592, alpha=1.2790507685984254Boosting round: 21, Accuracy: 0.3063
error=0.7010426953945669, alpha=1.3449565549775953Boosting round: 22, Accuracy: 0.3103
error=0.7062714634111131, alpha=1.3198809005241545Boosting round: 23, Accuracy: 0.3104
error=0.7213034443710592, alpha=1.2462882383178582Boosting round: 24, Accuracy: 0.3077
error=0.70090866832466, alpha=1.345595970342764Boosting round: 25, Accuracy: 0.3102
error=0.7144148964516772, alpha=1.280300766956129Boosting round: 26, Accuracy: 0.3138
error=0.7125431068025779, alpha=1.289457078539119Boosting round: 27, Accuracy: 0.3152
error=0.7025492913793024, alpha=1.337757538875104Boosting round: 28, Accuracy: 0.3127
error=0.707985720040033, alpha=1.3116033583258984Boosting round: 29, Accuracy: 0.3174
error=0.7098293752215544, alpha=1.3026690640397298Boosting round: 30, Accuracy: 0.3207
error=0.7263132406368529, alpha=1.2212274330489876Boosting round: 31, Accuracy: 0.3221
error=0.7245097595539673, alpha=1.2302815480095044Boosting round: 32, Accuracy: 0.3186
error=0.7096427989702324, alpha=1.3035747266552282Boosting round: 33, Accuracy: 0.3171
error=0.05108000000000001, alpha=5.119156041966044Boosting round: 1, Accuracy: 0.1211
error=0.016926715285540295, alpha=6.259015086876221Boosting round: 2, Accuracy: 0.112
error=0.036717558785341074, alpha=5.464316157528559Boosting round: 3, Accuracy: 0.1146
error=0.05145931679423787, alpha=5.1113577276206525Boosting round: 4, Accuracy: 0.1171
